Data,Hora,Temperatura,Temperatura.max,Temperatura.min,Precipitacio,ETO,Irrigation
2021-11-01,01:00,16.2,16.4,15.9,0,NA,0
2021-11-01,02:00,16.4,17.1,16,0.7,0,0
2021-11-01,03:00,15.7,16,15.5,0.4,0,0
2021-11-01,04:00,15.2,15.6,14.8,0.4,0,0
2021-11-01,05:00,14.6,14.8,14.4,0.1,0,0
2021-11-01,06:00,14.3,14.4,14.1,0,0,0
2021-11-01,07:00,14,14.1,13.9,0,0,0
2021-11-01,08:00,14.8,15.6,14,0,0,0
2021-11-01,09:00,16,16.5,15.6,0,0.14,0
2021-11-01,10:00,17,17.6,16.5,0,0.21,0
2021-11-01,11:00,17,17.6,16.5,0,0.22,0
2021-11-01,12:00,17.2,17.7,16.8,0,0.23,0
2021-11-01,13:00,18,18.7,17.4,0,0.3,0
2021-11-01,14:00,18.4,18.7,18.2,0,0.3,0
2021-11-01,15:00,18.2,18.4,17.8,0,0.26,0
2021-11-01,16:00,17.4,17.8,16.7,0,0.17,0
2021-11-01,17:00,15.8,16.7,14.9,0,0,0
2021-11-01,18:00,14.1,14.9,13.4,0,0,0
2021-11-01,19:00,13,13.7,12.1,0,0,0
2021-11-01,20:00,11.6,12.1,11.3,0,0,0
2021-11-01,21:00,10.8,11.3,10,0,0,0
2021-11-01,22:00,9.4,10,8.8,0,0,0
2021-11-01,23:00,8.8,9,8.7,0,0,0
2021-11-01,24:00:00,8.8,9.3,8.2,0,0,0
2021-11-02,01:00,8.6,8.8,8,0,0,0
2021-11-02,02:00,8.2,8.5,8,0,0,0
2021-11-02,03:00,8.1,8.3,7.9,0,0,0
2021-11-02,04:00,8.4,8.9,8.1,0,0,0
2021-11-02,05:00,8.4,9,7.7,0,0,0
2021-11-02,06:00,8,8.5,7.7,0,0,0
2021-11-02,07:00,8.2,8.5,8,0,0,0
2021-11-02,08:00,10,10.9,8.1,0,0,0
2021-11-02,09:00,12,13.1,10.9,0,0.13,0
2021-11-02,10:00,14.2,15.1,13.1,0,0.22,0
2021-11-02,11:00,15.6,16.6,14.6,0,0.28,0
2021-11-02,12:00,16.6,17.1,15.8,0,0.31,0
2021-11-02,13:00,17.3,17.9,16.9,0,0.31,0
2021-11-02,14:00,17.3,18.1,16.8,0,0.21,0
2021-11-02,15:00,16.5,17,16,0,0.12,0
2021-11-02,16:00,15.2,16,13.9,0,0.05,0
2021-11-02,17:00,12.5,13.9,11.2,0,0,0
2021-11-02,18:00,10.8,11.2,10.3,0,NA,0
2021-11-02,19:00,10.1,10.5,9.7,0,NA,0
