,Image.Name,Date,Altitude,Genotype,Rows,Plots,count_mean,Sowing_density,Intensity,Hue,Saturation,Lightness,a.,b.,u.,v.,GA,GGA,CSI,NGRDI,NGRDIveg,TGI,TGIveg
10,R-001_Plot-001,19/01/2022,50m,HONDIA,R1,101,58.33,70,0.34053597,33.437466,0.13708138,37.925556,-0.25918067,14.230028,6.5079446,15.47495,0.000233918,0,100,-0.0554,0.001,411.4523,604.375
38,R-001_Plot-002,19/01/2022,50m,MARCOPOLO,R1,102,126.33,140,0.339587,35.306644,0.1364302,37.903706,-0.7325026,14.27118,5.888422,15.596614,0.000292398,0,100,-0.0502,0.0062,466.3829,935
57,R-001_Plot-003,19/01/2022,50m,BOLOGNA,R1,103,373.33,560,0.3344377,36.607403,0.1367873,37.39062,-1.0128543,14.18363,5.445847,15.483417,0.00380117,0,100,-0.047,0.0066,499.0772,937.2692
80,R-001_Plot-004,19/01/2022,50m,BOLOGNA,R1,104,73.67,70,0.35523942,32.042835,0.12920475,39.397503,-0.066923305,14.102996,6.8064027,15.531371,0.000350877,0,100,-0.0557,0.012,360.143,614.1667
86,R-001_Plot-005,19/01/2022,50m,MARCOPOLO,R1,105,360.67,560,0.33511278,37.16953,0.12791246,37.407326,-1.2545426,13.679248,4.9108677,15.039523,0.009824561,0,100,-0.0426,0.0062,482.9551,830.7143
115,R-001_Plot-006,19/01/2022,50m,HONDIA,R1,106,234.67,280,0.34842074,35.736492,0.12751138,38.806564,-0.98384804,14.00312,5.4877,15.513589,0.002192982,0,100,-0.0458,0.0046,459.7218,739.2
129,R-001_Plot-007,19/01/2022,50m,HONDIA,R1,107,387.67,560,0.34026012,39.399296,0.1331119,38.12141,-1.718313,14.3061,4.5970674,15.840062,0.009853801,0.000614035,93.76854599,-0.039,0.0072,572.6982,741.5134
156,R-001_Plot-008,19/01/2022,50m,BOLOGNA,R1,108,115,140,0.3580509,36.835583,0.12597376,39.889816,-1.2775639,14.257836,5.25966,15.974333,0.001871345,0,100,-0.0428,0.0047,498.6398,868.5938
161,R-001_Plot-009,19/01/2022,50m,MARCOPOLO,R1,109,42,35,0.36662486,35.56084,0.123998046,40.745865,-1.0459259,14.321604,5.646984,16.11663,0.000409357,0,100,-0.045,0.0022,465.2047,698.2143
194,R-001_Plot-010,19/01/2022,50m,BOLOGNA,R1,110,226.67,280,0.35837853,34.09356,0.12113929,39.762444,-0.7507014,13.797493,5.7650537,15.402321,0.001783626,0,100,-0.0476,0.0031,401.9844,786.4754
212,R-001_Plot-011,19/01/2022,50m,MARCOPOLO,R1,111,81,70,0.37197098,33.407944,0.11668086,41.16194,-0.6931659,13.854112,5.943341,15.637378,0.001315789,0.000233918,82.22222222,-0.0474,0.0225,381.6727,248.2143
236,R-001_Plot-012,19/01/2022,50m,HONDIA,R1,112,43,35,0.32015565,48.334507,0.08295733,35.62266,-3.099159,10.814646,1.2157836,12.280268,0.140409357,0.098099415,30.1332778,0.0106,0.1124,467.3257,267.2094
254,R-001_Plot-013,19/01/2022,50m,BOLOGNA,R1,113,39.33,35,0.37531233,36.268845,0.11447585,41.615128,-1.347453,13.960264,5.1189017,15.924015,0.001081871,0,100,-0.0403,0.0037,459.3874,533.7838
279,R-001_Plot-014,19/01/2022,50m,HONDIA,R1,114,114,140,0.3663911,39.08934,0.11515039,40.770508,-1.9047774,13.88844,4.29113,15.839401,0.001578947,0,100,-0.0348,0.0046,525.5458,824.7222
292,R-001_Plot-015,19/01/2022,50m,MARCOPOLO,R1,115,195.67,280,0.35336265,42.448933,0.1134761,39.459522,-2.495904,13.552184,3.296702,15.427649,0.017982456,0.000204678,98.86178862,-0.0278,0.0039,578.6709,715.878
306,R-002_Plot-016,19/01/2022,50m,HONDIA,R2,201,218.33,280,0.35686946,44.13846,0.113967836,39.91014,-2.8133068,13.777018,2.9863527,15.772121,0.023479532,0,100,-0.0248,0.004,625.3787,814.6575
325,R-002_Plot-017,19/01/2022,50m,BOLOGNA,R2,202,389.67,560,0.3528711,44.30437,0.11209887,39.454357,-2.8149981,13.531201,2.8620307,15.462527,0.047953216,0,100,-0.0241,0.0053,611.8364,846.6006
358,R-002_Plot-018,19/01/2022,50m,MARCOPOLO,R2,203,105.33,140,0.36909997,42.203148,0.11081195,41.132767,-2.5422401,13.8265085,3.4167423,15.939948,0.012953216,0,100,-0.0276,0.0065,584.5228,890.8239
368,R-002_Plot-019,19/01/2022,50m,BOLOGNA,R2,204,129,140,0.35915175,40.62184,0.11083853,40.001423,-2.2023437,13.4720335,3.6758747,15.36843,0.017222222,5.84795321637427e-05,99.66044143,-0.0306,0.0051,532.3806,767.7759
394,R-002_Plot-020,19/01/2022,50m,MARCOPOLO,R2,205,38.33,35,0.3712615,36.394447,0.11377996,41.18137,-1.3893125,13.808285,4.973918,15.719842,0.002046784,0,100,-0.0398,0.0032,455.0781,715.2143
417,R-002_Plot-021,19/01/2022,50m,HONDIA,R2,206,74.33,70,0.36913562,36.660778,0.114770114,40.97179,-1.4209714,13.822226,4.927247,15.711972,0.004736842,0,100,-0.0396,0.0041,463.6357,759.784
424,R-002_Plot-022,19/01/2022,50m,HONDIA,R2,207,29,35,0.36914977,36.383156,0.11716515,40.98646,-1.334979,13.973364,5.1117907,15.851397,0.001140351,8.7719298245614e-05,92.30769231,-0.0409,0.0094,465.6383,581.2821
457,R-002_Plot-023,19/01/2022,50m,MARCOPOLO,R2,208,361.33,560,0.34023967,41.7174,0.11431241,38.007336,-2.2986693,13.194397,3.3483315,14.833788,0.063421053,0.001052632,98.34024896,-0.0292,0.0054,544.9956,805.3942
477,R-002_Plot-024,19/01/2022,50m,BOLOGNA,R2,209,77.67,70,0.36512312,35.25686,0.12021196,40.533035,-1.0322682,14.001352,5.513404,15.763286,0.001315789,0,100,-0.0445,0.0023,440.4067,698
488,R-002_Plot-025,19/01/2022,50m,BOLOGNA,R2,210,34.33,35,0.36821833,33.465927,0.11923963,40.78036,-0.6385182,13.928504,6.030836,15.651896,0.001725146,0,100,-0.0482,0.0019,387.8477,584.7458
506,R-002_Plot-026,19/01/2022,50m,HONDIA,R2,211,375.67,560,0.34062886,38.45204,0.12698722,38.061718,-1.5796369,13.878578,4.597242,15.388857,0.010263158,0,100,-0.0395,0.0047,521.9554,841.2251
532,R-002_Plot-027,19/01/2022,50m,MARCOPOLO,R2,212,205.33,280,0.34579805,35.592186,0.13271242,38.56765,-0.87669325,14.262513,5.7302866,15.713996,0.003040936,0,100,-0.0482,0.0042,470.5545,736.0096
548,R-002_Plot-028,19/01/2022,50m,BOLOGNA,R2,213,230.33,280,0.3456721,33.588493,0.12520385,38.396473,-0.55643654,13.64932,5.885834,15.029249,0.002894737,0,100,-0.0505,0.0035,385.9303,592.5758
563,R-002_Plot-029,19/01/2022,50m,HONDIA,R2,214,110.67,140,0.34365308,34.145477,0.12668288,38.21341,-0.6538455,13.715671,5.7732577,15.085865,0.001812865,0,100,-0.0497,0.0058,404.63,769.3548
590,R-002_Plot-030,19/01/2022,50m,MARCOPOLO,R2,215,62.33,70,0.3451641,36.259087,0.1319561,38.519615,-1.0407503,14.23082,5.4933405,15.705318,0.00619883,0.000672515,89.1509434,-0.0462,0.0133,486.7121,733.2075
605,R-003_Plot-031,19/01/2022,50m,MARCOPOLO,R3,301,340.67,560,0.32270768,43.067844,0.11945802,36.17094,-2.4146419,13.045537,3.0597193,14.442912,0.062105263,0.000380117,99.38794727,-0.0279,0.0059,569.8111,789.1761
632,R-003_Plot-032,19/01/2022,50m,BOLOGNA,R3,302,63.67,70,0.3537427,35.401283,0.12010962,39.304214,-1.0563849,13.66071,5.2676287,15.257561,0.000789474,0,100,-0.0444,0.0073,430.3461,879.6296
658,R-003_Plot-033,19/01/2022,50m,HONDIA,R3,303,38.33,35,0.35817966,31.313736,0.11494362,39.57286,-0.26622772,13.231286,6.1603622,14.721473,0.001052632,2.92397660818713e-05,97.22222222,-0.0519,0.0089,301.7329,617.9167
664,R-003_Plot-034,19/01/2022,50m,HONDIA,R3,304,126.33,140,0.35334983,32.82318,0.11325413,39.095776,-0.63298637,13.058162,5.561966,14.550415,0.001403509,0,100,-0.0476,0.0109,335.813,804.8958
690,R-003_Plot-035,19/01/2022,50m,MARCOPOLO,R3,305,55,70,0.36109364,35.24823,0.11393881,40.036842,-1.1167274,13.462421,5.135836,15.1688795,0.003187135,0,100,-0.0425,0.0045,412.5846,598.7615
718,R-003_Plot-036,19/01/2022,50m,BOLOGNA,R3,306,231,280,0.34994456,37.10357,0.12001526,38.95944,-1.4132383,13.631111,4.7576485,15.243992,0.006315789,0,100,-0.0404,0.0058,471.4411,739.4676
732,R-003_Plot-037,19/01/2022,50m,HONDIA,R3,307,224.67,280,0.35059324,37.355568,0.11427271,38.980457,-1.5267708,13.285833,4.4563212,14.922776,0.009181287,0,100,-0.0381,0.0056,456.0883,741.242
746,R-003_Plot-038,19/01/2022,50m,MARCOPOLO,R3,308,104.67,140,0.3581334,37.141396,0.109745264,39.75223,-1.5736046,13.195941,4.3888993,14.944029,0.003128655,0,100,-0.0371,9e-04,442.1268,661.3084
780,R-003_Plot-039,19/01/2022,50m,BOLOGNA,R3,309,383.33,560,0.3522496,38.704407,0.11009991,39.174126,-1.8580407,13.120579,3.9497247,14.84205,0.010380117,0,100,-0.0341,0.0049,473.993,794.9014
792,R-003_Plot-040,19/01/2022,50m,BOLOGNA,R3,310,38.67,35,0.37812972,34.110832,0.10173553,41.710636,-1.156142,13.044527,4.973074,14.96178,0.00128655,0,100,-0.0402,0,356.6497,610.9091
802,R-003_Plot-041,19/01/2022,50m,HONDIA,R3,311,415,560,0.34396717,40.095078,0.11009985,38.31586,-2.0595398,12.956602,3.5749207,14.597602,0.034444444,0.000380117,98.89643463,-0.0313,0.0038,494.6545,714.236
828,R-003_Plot-042,19/01/2022,50m,MARCOPOLO,R3,312,203,280,0.3530873,40.838844,0.10506636,39.283443,-2.2607443,12.899677,3.3202605,14.705093,0.022192982,0,100,-0.0286,0.0031,500.8684,716.8248
846,R-003_Plot-043,19/01/2022,50m,BOLOGNA,R3,313,119.67,140,0.364735,38.63568,0.10408425,40.463394,-1.9258032,13.060067,3.8846493,14.96105,0.006578947,0,100,-0.0325,0.0037,462.3778,832.0222
862,R-003_Plot-044,19/01/2022,50m,MARCOPOLO,R3,314,30.67,35,0.37924948,38.508522,0.100262165,41.981113,-2.0112567,13.185473,3.883331,15.29503,0.004678363,0,100,-0.0315,0.001,460.1539,693.4688
898,R-003_Plot-045,19/01/2022,50m,HONDIA,R3,315,70,70,0.37539098,39.492546,0.095964015,41.552876,-2.1888072,12.827001,3.4661684,14.903355,0.014736842,0.000116959,99.20634921,-0.0286,0.0038,457.5281,791.3591
919,R-004_Plot-046,19/01/2022,50m,HONDIA,R4,401,37.67,35,0.37148213,37.90768,0.09328574,41.054832,-1.9710531,12.461661,3.5785053,14.425856,0.000789474,0,100,-0.0305,6e-04,406.4861,615.9259
927,R-004_Plot-047,19/01/2022,50m,MARCOPOLO,R4,402,358.33,560,0.3375384,45.40942,0.099187374,37.656662,-2.8885784,12.272538,2.165268,13.969151,0.094736842,0.000292398,99.69135802,-0.0195,0.0024,537.9216,694.2623
960,R-004_Plot-048,19/01/2022,50m,BOLOGNA,R4,403,62,70,0.36393055,35.98367,0.09699869,40.213264,-1.547649,12.434539,4.1047873,14.221412,0.006842105,0,100,-0.0351,0.002,370.9465,546.1966
969,R-004_Plot-049,19/01/2022,50m,BOLOGNA,R4,404,381,560,0.32990852,39.454777,0.10875344,36.742203,-1.9104859,12.426711,3.4790077,13.829866,0.017865497,0,100,-0.0324,0.0021,454.8658,666.4075
992,R-004_Plot-050,19/01/2022,50m,HONDIA,R4,405,229.33,280,0.35239807,36.781094,0.10725582,39.09054,-1.5206159,12.843579,4.275779,14.491976,0.004327485,0,100,-0.037,0.0029,416.5355,705.6081
1011,R-004_Plot-051,19/01/2022,50m,MARCOPOLO,R4,406,115,140,0.3617749,33.631042,0.10355806,39.960888,-1.0095372,12.712299,4.9432106,14.3787565,0.000760234,0,100,-0.042,7e-04,335.1642,617.8846
1034,R-004_Plot-052,19/01/2022,50m,MARCOPOLO,R4,407,64.33,70,0.36411202,33.03843,0.102877975,40.178066,-0.89241445,12.694311,5.1034474,14.366401,0.000643275,0,100,-0.0428,0.0075,319.9085,638.8636
1052,R-004_Plot-053,19/01/2022,50m,HONDIA,R4,408,95,140,0.3551344,33.751965,0.111629546,39.314598,-0.87557983,13.061361,5.24797,14.625884,0.001754386,0,100,-0.0448,0.0029,357.9143,599.0833
1075,R-004_Plot-054,19/01/2022,50m,BOLOGNA,R4,409,198,280,0.34840503,33.605316,0.12196362,38.663467,-0.597028,13.530932,5.7948384,14.95706,0.001491228,0,100,-0.0491,0.0043,379.402,584.2157
1093,R-004_Plot-055,19/01/2022,50m,BOLOGNA,R4,410,99,140,0.35193053,33.48569,0.12019211,39.02769,-0.63456,13.502239,5.752014,14.985706,0.001549708,0,100,-0.0489,0.0017,374.2243,716.3208
1109,R-004_Plot-056,19/01/2022,50m,MARCOPOLO,R4,411,34.33,35,0.35257137,33.320126,0.12048352,39.09054,-0.5877728,13.536932,5.8338513,15.020501,0.006169591,0.000877193,85.78199052,-0.0492,0.0218,371.0039,805.7346
1126,R-004_Plot-057,19/01/2022,50m,HONDIA,R4,412,70.67,70,0.3460816,31.29924,0.11431128,38.256596,-0.279325,12.854417,5.9013953,14.17196,0.000263158,0,100,-0.0519,0,289.5265,600
1159,R-004_Plot-058,19/01/2022,50m,MARCOPOLO,R4,413,172,280,0.3385868,34.420887,0.11654484,37.579338,-0.88549894,12.943581,5.0938435,14.27638,0.002573099,0,100,-0.0455,0.0029,374.0561,715.3409
1169,R-004_Plot-059,19/01/2022,50m,BOLOGNA,R4,414,26.33,35,0.3502111,31.554697,0.117158055,38.73246,-0.25158268,13.153309,6.0978885,14.528914,0.000380117,0,100,-0.0524,0,307.7594,563.0769
1198,R-004_Plot-060,19/01/2022,50m,HONDIA,R4,415,355.33,560,0.31610045,40.14817,0.11872548,35.335068,-1.9123538,12.678831,3.5231845,13.876835,0.026637427,2.92397660818713e-05,99.89023052,-0.0339,0.0047,491.3801,749.8353
1,R-001_Plot-001,19/01/2022,15m,HONDIA,R1,101,58.33,70,0.34899735,30.144665,0.097387314,38.40184,-0.46342152,11.801155,5.193311,13.162075,0.026705085,0.004839078,81.87956456,-0.0473,0.0115,220.2889,528.0239
6,R-001_Plot-001,19/01/2022,30m,HONDIA,R1,101,58.33,70,0.3450609,35.24895,0.13850391,38.519615,-0.6928057,14.590548,6.115888,15.993495,0.018053977,0.001413643,92.16990788,-0.0515,0.0104,479.2918,881.4072
28,R-001_Plot-002,19/01/2022,15m,MARCOPOLO,R1,102,126.33,140,0.3509682,32.12032,0.100113034,38.705944,-0.7571028,12.120215,4.958491,13.575399,0.036714432,0.005446262,85.16588153,-0.0445,0.0103,277.614,581.1561
40,R-001_Plot-002,19/01/2022,30m,MARCOPOLO,R1,102,126.33,140,0.342496,36.0403,0.1403119,38.288937,-0.838982,14.647122,5.929073,16.039265,0.017397973,0.00110874,93.62719065,-0.05,0.0096,506.7453,917.5
43,R-001_Plot-003,19/01/2022,15m,BOLOGNA,R1,103,373.33,560,0.34933177,35.824818,0.10369855,38.69002,-1.3810092,12.479995,4.284486,14.048315,0.087579946,0.014092204,83.90932583,-0.0371,0.0123,376.9273,681.6767
51,R-001_Plot-003,19/01/2022,30m,BOLOGNA,R1,103,373.33,560,0.33875918,36.147964,0.13515794,37.838047,-0.9721666,14.210617,5.537701,15.570769,0.033132836,0.002337593,92.94478528,-0.0473,0.0106,485.9905,897.9518
65,R-001_Plot-004,19/01/2022,30m,BOLOGNA,R1,104,73.67,70,0.35423222,34.927513,0.13129145,39.438866,-0.73712385,14.383588,6.0215583,15.93606,0.013166283,0.002319114,82.38596491,-0.0495,0.0115,456.5428,808.2113
69,R-001_Plot-004,19/01/2022,15m,BOLOGNA,R1,104,73.67,70,0.36521658,31.154165,0.097338915,40.178066,-0.6523384,12.259995,5.231861,13.877715,0.023061977,0.003582389,84.4662518,-0.0456,0.0104,256.4727,564.8437
83,R-001_Plot-005,19/01/2022,30m,MARCOPOLO,R1,105,360.67,560,0.33569643,37.918777,0.12600237,37.485146,-1.4445206,13.615335,4.63547,15.022305,0.063050328,0.006144266,90.25498242,-0.0402,0.0115,496.4465,853.8319
96,R-001_Plot-005,19/01/2022,15m,MARCOPOLO,R1,105,360.67,560,0.34754708,37.34134,0.09973335,38.51427,-1.7167336,12.249991,3.729219,13.852504,0.128040523,0.027257071,78.71215278,-0.0328,0.0147,394.2893,672.5278
101,R-001_Plot-006,19/01/2022,30m,HONDIA,R1,106,234.67,280,0.35205302,36.03535,0.12915218,39.23144,-1.0365547,14.236325,5.5409575,15.814703,0.022904713,0.001773983,92.25494151,-0.0454,0.01,479.3112,836.0137
103,R-001_Plot-006,19/01/2022,15m,HONDIA,R1,106,234.67,280,0.35648966,34.33986,0.10175854,39.397503,-1.1653571,12.489784,4.60851,14.109459,0.044059526,0.007048862,84.00150338,-0.0399,0.0107,341.8982,599.7425
133,R-001_Plot-007,19/01/2022,30m,HONDIA,R1,107,387.67,560,0.34150538,40.389904,0.13364571,38.305096,-1.9187231,14.427716,4.390399,16.022318,0.063105765,0.00642145,89.82430454,-0.0366,0.0128,604.1356,948.8057
137,R-001_Plot-007,19/01/2022,15m,HONDIA,R1,107,387.67,560,0.32771468,38.406002,0.10288286,36.409035,-1.8084913,11.944821,3.3916862,13.289633,0.12538915,0.024993928,80.06691319,-0.0317,0.0149,405.8914,679.8683
141,R-001_Plot-008,19/01/2022,30m,BOLOGNA,R1,108,115,140,0.35642314,34.876835,0.12106258,39.58314,-0.91172993,13.77741,5.5286207,15.386572,0.017102309,0.001718546,89.95137763,-0.0457,0.0097,422.1288,801.9534
151,R-001_Plot-008,19/01/2022,15m,BOLOGNA,R1,108,115,140,0.33130336,37.396935,0.09899676,36.736492,-1.6858782,11.762168,3.4858398,13.12917,0.070488618,0.010338699,85.33281128,-0.0335,0.0099,374.2322,607.446
165,R-001_Plot-009,19/01/2022,30m,MARCOPOLO,R1,109,42,35,0.3699585,33.870148,0.12087035,41.001125,-0.6970993,14.113376,6.0449142,15.878799,0.005968715,0.000572849,90.40247678,-0.0479,0.0085,407.3031,757.5463
166,R-001_Plot-009,19/01/2022,15m,MARCOPOLO,R1,109,42,35,0.34594676,34.878277,0.0952099,38.21881,-1.3582174,11.80152,3.994554,13.297787,0.026653566,0.003770065,85.85530857,-0.0367,0.0096,322.2574,550.9573
181,R-001_Plot-010,19/01/2022,30m,BOLOGNA,R1,110,226.67,280,0.36288962,34.032326,0.123241484,40.26347,-0.6938329,14.065555,5.9878554,15.729273,0.01303693,0.001404404,89.22749823,-0.0484,0.0091,412.2615,819.738
193,R-001_Plot-010,19/01/2022,15m,BOLOGNA,R1,110,226.67,280,0.3434756,37.38762,0.107665,38.143085,-1.5985116,12.646217,4.0443172,14.182637,0.05696496,0.008465626,85.13888889,-0.0355,0.0111,421.7374,657.8464
202,R-001_Plot-011,19/01/2022,15m,MARCOPOLO,R1,111,81,70,0.35776368,37.342213,0.099651635,39.619095,-1.7382581,12.519147,3.8632264,14.26885,0.043231547,0.004800439,88.89598229,-0.0336,0.0089,405.5668,633.9059
203,R-001_Plot-011,19/01/2022,30m,MARCOPOLO,R1,111,81,70,0.3751925,33.778004,0.11496836,41.5049,-0.7889906,13.848442,5.827451,15.694053,0.009969417,0.002097366,78.96200185,-0.0459,0.0205,390.2014,662.2268
230,R-001_Plot-012,19/01/2022,30m,HONDIA,R1,112,43,35,0.3490776,42.284954,0.09353912,38.764244,-2.5140898,12.064457,2.6007655,13.835181,0.073444762,0.036385139,50.45917726,-0.0114,0.0982,468.1685,344.6521
235,R-001_Plot-012,19/01/2022,15m,HONDIA,R1,112,43,35,0.35373905,42.590046,0.09220016,39.267853,-2.6051059,12.12481,2.52227,13.975032,0.113006263,0.010552133,90.66234654,-0.0224,0.0084,473.2881,650.7829
244,R-001_Plot-013,19/01/2022,15m,BOLOGNA,R1,113,39.33,35,0.36239108,42.863373,0.09698266,40.26347,-2.6447952,12.681021,2.7453804,14.675697,0.090433714,0.005628418,93.77619532,-0.0232,0.007,515.4461,718.0161
245,R-001_Plot-013,19/01/2022,30m,BOLOGNA,R1,113,39.33,35,0.38176706,37.818844,0.10641563,42.29118,-1.8260462,13.655282,4.3586483,15.785538,0.0220362,0.001145698,94.80083857,-0.0347,0.0065,474.2867,841.8677
262,R-001_Plot-014,19/01/2022,30m,HONDIA,R1,114,114,140,0.36780497,39.80035,0.11319202,40.932625,-2.0654974,13.834742,4.056915,15.835778,0.040681505,0.002291395,94.36747672,-0.0328,0.0073,536.4622,836.8314
266,R-001_Plot-014,19/01/2022,15m,HONDIA,R1,114,114,140,0.3560691,40.477535,0.100131094,39.541996,-2.262055,12.644567,3.216055,14.479796,0.084152113,0.010789487,87.17859017,-0.0276,0.0104,473.7861,661.1236
291,R-001_Plot-015,19/01/2022,30m,MARCOPOLO,R1,115,195.67,280,0.35567918,41.923218,0.10748041,39.62936,-2.4352944,13.185754,3.225003,15.070967,0.087701306,0.006560043,92.52001686,-0.0272,0.0083,540.2047,820.144
299,R-001_Plot-015,19/01/2022,15m,MARCOPOLO,R1,115,195.67,280,0.34320143,44.422783,0.09598881,38.21341,-2.8046012,12.172115,2.24841,13.925743,0.167538805,0.022107041,86.80482341,-0.0199,0.0112,511.6887,685.527
304,R-002_Plot-016,19/01/2022,30m,HONDIA,R2,201,218.33,280,0.36076388,41.405983,0.11007458,40.18813,-2.3421578,13.488532,3.5026796,15.435086,0.063540021,0.00386211,93.92176821,-0.0289,0.0073,549.2941,836.8309
310,R-002_Plot-016,19/01/2022,15m,HONDIA,R2,201,218.33,280,0.3331615,45.2193,0.10481846,37.228592,-2.8122692,12.493914,2.3465488,14.119736,0.174521428,0.021328741,87.77872663,-0.0204,0.012,557.517,741.7268
322,R-002_Plot-017,19/01/2022,30m,BOLOGNA,R2,202,389.67,560,0.35853317,42.97524,0.11466855,40.052006,-2.5760672,13.807572,3.322398,15.780143,0.101828496,0.005127921,94.96415933,-0.0266,0.009,605.547,913.3539
333,R-002_Plot-017,19/01/2022,15m,BOLOGNA,R2,202,389.67,560,0.3296838,43.54881,0.09897137,36.742203,-2.6133013,11.967282,2.3652654,13.495144,0.186567604,0.033904823,81.82705773,-0.0213,0.0139,491.0702,680.9083
347,R-002_Plot-018,19/01/2022,30m,MARCOPOLO,R2,203,105.33,140,0.37355462,40.02054,0.108305275,41.5049,-2.1503816,13.658716,3.8873205,15.747214,0.050207427,0.003132189,93.76150166,-0.0311,0.0077,526.6511,835.575
