"","(Intercept)","PC1","PC2","PC3","PC4","date","alt","model"
"1",160.933166666667,-12.0629963422941,-31.6384740170075,-42.8887230171908,33.0411424249253,"2022-01-19","50m","PCR"
"2",160.933166666667,20.7982390988084,2.29251153057578,54.3889172926229,-8.29512159316301,"2022-01-19","15m","PCR"
"3",160.933166666667,-16.5043302959051,45.1844318636259,-11.996608268861,-30.9507885126108,"2022-01-19","30m","PCR"
"4",160.933166666667,-31.5335146160854,39.5284282058273,0.996626340066747,-33.3700620273226,"2022-01-19","ground","PCR"
"5",160.933166666667,25.3468027215652,44.6889617124411,0,0,"2022-02-14","30m","PCR"
"6",160.933166666667,34.6526639214287,-15.5067883886031,-14.0635766612845,0,"2022-02-14","15m","PCR"
"7",160.933166666667,25.0949915611822,22.9936151828577,-55.7491639493905,0,"2022-02-14","50m","PCR"
"8",160.933166666667,-25.6536903688911,-43.3883574527125,7.04411859828129,0,"2022-02-14","ground","PCR"
"9",160.933166666667,33.6521780835709,3.13682299564665,0,0,"2022-03-09","15m","PCR"
"10",160.933166666667,33.0811324800021,3.58826451556392,0,0,"2022-03-09","50m","PCR"
"11",160.933166666667,33.0392957023877,4.80853705793538,0,0,"2022-03-09","30m","PCR"
"12",160.933166666667,36.2512528648643,-16.7207273468798,0,0,"2022-03-09","ground","PCR"
"13",160.933166666667,32.4118020556513,-10.0867745381245,0,0,"2022-03-22","50m","PCR"
"14",160.933166666667,31.9039695269667,17.3316877888296,-20.7630600333905,0,"2022-04-05","50m","PCR"
"15",160.933166666667,24.6345596437262,-25.3363205475463,43.8187379734211,0,"2022-04-19","50m","PCR"
"16",160.933166666667,15.5423976183214,-25.6746165064328,0,0,"2022-05-03","50m","PCR"
