"","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD","tuning","model","altitude","date"
"124",147.44270196744,0.554832999182356,86.4402908640152,170.526632770016,0.259470706002331,48.5442736316975,"lambda =  160","Ridge","50m","2022-01-19"
"1",103.00716516773,0.530212699684419,71.161898830712,53.9817687922734,0.26766449011107,22.3081686101547,"intercept =  TRUE","PCR","50m","2022-01-19"
"28",70.2745043052234,0.708939578688998,52.8891049498909,12.9328758123828,0.129574758421001,9.5069932503137,"lambda =  7","Ridge","15m","2022-01-19"
"11",77.8183992309429,0.621947377319777,59.3870455769397,15.1560787424662,0.162834317125488,10.5420469840069,"intercept =  TRUE","PCR","15m","2022-01-19"
"30",92.697498987177,0.593018575144414,65.7202939501919,38.5712706993741,0.258721892089414,15.344607051243,"lambda =  9","Ridge","30m","2022-01-19"
"12",87.8209266718968,0.601713408043352,63.6452258908053,34.8218677379764,0.248728039905377,16.2706058214339,"intercept =  TRUE","PCR","30m","2022-01-19"
"32",46.219504356848,0.877070110616497,38.6752671374508,5.22386153218141,0.0347520076438736,5.27347289355647,"lambda =  11","Ridge","ground","2022-01-19"
"13",48.5179819040564,0.873379918996825,40.0486176633863,7.3271951031619,0.0574387053941948,6.49966901739464,"intercept =  TRUE","PCR","ground","2022-01-19"
"31",53.2623857413144,0.835907191874363,43.9323285201257,8.93013907726062,0.0556863454901953,8.36410967033827,"lambda =  10","Ridge","30m","2022-02-14"
"14",57.4239520633955,0.81748283461702,48.3583829414288,7.44555783260905,0.0475829755510245,6.95017590106924,"intercept =  TRUE","PCR","30m","2022-02-14"
"321",32.9479694668498,0.934469208406043,25.2134580877054,6.86596359650793,0.0322043498464893,5.11693806383739,"lambda =  11","Ridge","15m","2022-02-14"
"15",43.3324929246215,0.888462775439349,34.7087607033866,7.16004088992011,0.0418020782432516,5.27653104888381,"intercept =  TRUE","PCR","15m","2022-02-14"
"54",72.0881322977716,0.739275435649831,56.5565173901416,28.083383874378,0.110443432969627,13.4139701196449,"lambda =  33","Ridge","50m","2022-02-14"
"16",83.0426767505981,0.738466821305193,62.9669431993379,53.146939984099,0.12660108240854,25.522797711479,"intercept =  TRUE","PCR","50m","2022-02-14"
"311",37.9930112370484,0.919547784927705,31.093765490061,6.07038932241198,0.0289742754821684,4.2122282377216,"lambda =  10","Ridge","ground","2022-02-14"
"17",43.33523622975,0.906632823777653,34.7254921484168,8.69334754594307,0.042670033920298,6.01414581763626,"intercept =  TRUE","PCR","ground","2022-02-14"
"322",42.1641470915754,0.899648523585999,30.2765358898979,7.70920804488016,0.0362566667602332,6.16597876222839,"lambda =  11","Ridge","15m","2022-03-09"
"18",42.9049398220637,0.887295842342886,31.5144563932155,7.92427383297574,0.0456479376575947,6.11469572610283,"intercept =  TRUE","PCR","15m","2022-03-09"
"85",42.0254790889552,0.901602681920579,29.6145954620917,9.3663820845741,0.0403341387699156,6.11270282005165,"lambda =  64","Ridge","50m","2022-03-09"
"19",42.0838204346017,0.897504204145197,29.8007996859669,7.43357609161506,0.0352593024518556,5.46259514715859,"intercept =  TRUE","PCR","50m","2022-03-09"
"312",43.6542294931849,0.898018410521346,30.2562375447523,7.49169942225708,0.0367260775236362,5.45622240878993,"lambda =  10","Ridge","30m","2022-03-09"
"110",42.4850157374235,0.887009041827036,30.5770938041043,9.61683098376831,0.0509663274211621,6.98025174538513,"intercept =  TRUE","PCR","30m","2022-03-09"
"313",40.0807126618386,0.907297217147277,30.9121461575893,5.65691234841726,0.0235323801457352,4.31799686616914,"lambda =  10","Ridge","ground","2022-03-09"
"111",44.7410674692117,0.887087833576647,34.8896409569691,8.40122623311917,0.0496773816935406,6.58175701827291,"intercept =  TRUE","PCR","ground","2022-03-09"
"43",46.016075907955,0.869105739434727,29.0056016118047,11.609127517072,0.0605132857596542,7.43852354337462,"lambda =  22","Ridge","50m","2022-03-22"
"112",46.5063942041635,0.861624705766075,30.7931702273077,11.5205295953329,0.0716154689021329,7.70521610149827,"intercept =  TRUE","PCR","50m","2022-03-22"
"301",55.9805694217676,0.813740952684016,41.2100852777752,6.81947784859419,0.0489184703059905,5.06212962747921,"lambda =  9","Ridge","50m","2022-04-05"
"113",65.9835807319491,0.735207136530407,49.5865610326354,12.0162959171423,0.0784081410756597,9.38649540644066,"intercept =  TRUE","PCR","50m","2022-04-05"
"302",69.5842931877985,0.700883093289177,52.8600455710948,11.9684702164741,0.0969049412998236,9.50375454453376,"lambda =  9","Ridge","50m","2022-04-19"
"114",75.1488613294062,0.642985755479108,59.047237852432,8.10654230700844,0.0880614057620535,8.08290460078889,"intercept =  TRUE","PCR","50m","2022-04-19"
"281",89.4342564855067,0.50820331131991,71.2625998328644,14.6589763628797,0.169225965848348,12.884622825218,"lambda =  7","Ridge","50m","2022-05-03"
"115",103.451198711094,0.34882184610245,83.9612374208479,14.8969048938506,0.145398711177341,11.9776602077201,"intercept =  TRUE","PCR","50m","2022-05-03"
