"","RMSE","Rsquared","MAE","Resample","tuning","model","altitude","date"
"1",88.4675667030414,0.584412306965544,77.9538356678901,"Fold3.Rep09","lambda =  160","Ridge","50m","2022-01-19"
"2",72.3022854024364,0.752199494372692,62.2714520206109,"Fold4.Rep09","lambda =  160","Ridge","50m","2022-01-19"
"3",87.0499442702174,0.451251250181966,76.537691865402,"Fold1.Rep07","lambda =  160","Ridge","50m","2022-01-19"
"4",85.9236708788282,0.67434989108805,75.0488754368836,"Fold1.Rep10","lambda =  160","Ridge","50m","2022-01-19"
"5",55.7136956844783,0.738394906871413,47.0413107223309,"Fold2.Rep04","lambda =  160","Ridge","50m","2022-01-19"
"6",66.414736517923,0.693711815464279,57.2024271782365,"Fold2.Rep08","lambda =  160","Ridge","50m","2022-01-19"
"7",82.0102508927867,0.635125651089971,62.7157667036538,"Fold1.Rep05","lambda =  160","Ridge","50m","2022-01-19"
"8",75.0938798210225,0.726778095731502,67.0103164143648,"Fold3.Rep10","lambda =  160","Ridge","50m","2022-01-19"
"9",87.4991969095548,0.539274708865979,79.295124577435,"Fold4.Rep01","lambda =  160","Ridge","50m","2022-01-19"
"10",353.73081048618,0.00231087871819524,146.559131081968,"Fold2.Rep10","lambda =  160","Ridge","50m","2022-01-19"
"11",72.6493316153941,0.710556277424054,61.0622550806116,"Fold3.Rep02","lambda =  160","Ridge","50m","2022-01-19"
"12",82.2106150363144,0.778529206685577,61.1404595064911,"Fold2.Rep01","lambda =  160","Ridge","50m","2022-01-19"
"13",93.3863021038063,0.666444569184416,80.8113127600068,"Fold4.Rep05","lambda =  160","Ridge","50m","2022-01-19"
"14",74.6291744924506,0.74397006638636,58.9140285652018,"Fold3.Rep06","lambda =  160","Ridge","50m","2022-01-19"
"15",77.6175859648202,0.860251223038646,64.9896145449145,"Fold2.Rep03","lambda =  160","Ridge","50m","2022-01-19"
"16",81.4900948428078,0.72620187443542,69.7074229887822,"Fold1.Rep06","lambda =  160","Ridge","50m","2022-01-19"
"17",259.060567205056,9.98981074706238e-06,112.659140948586,"Fold3.Rep05","lambda =  160","Ridge","50m","2022-01-19"
"18",92.0716249600145,0.649260688163087,74.67145800771,"Fold4.Rep02","lambda =  160","Ridge","50m","2022-01-19"
"19",285.084513836294,0.00485505656229,132.176505279712,"Fold2.Rep02","lambda =  160","Ridge","50m","2022-01-19"
"20",70.9988863138639,0.663115926371636,55.5752770101089,"Fold1.Rep09","lambda =  160","Ridge","50m","2022-01-19"
"21",85.448161274364,0.732742398198602,68.1049192201508,"Fold1.Rep04","lambda =  160","Ridge","50m","2022-01-19"
"22",91.7329045274128,0.818528462635339,76.9635970733528,"Fold3.Rep08","lambda =  160","Ridge","50m","2022-01-19"
"23",83.752577494735,0.598937094065331,69.4210923308107,"Fold1.Rep08","lambda =  160","Ridge","50m","2022-01-19"
"24",81.9135950087414,0.799086055874797,63.4176592651849,"Fold4.Rep10","lambda =  160","Ridge","50m","2022-01-19"
"25",569.668619854142,0.0169678287928618,198.249836676503,"Fold3.Rep07","lambda =  160","Ridge","50m","2022-01-19"
"26",684.297439189718,0.0351045573920628,232.805923188222,"Fold4.Rep03","lambda =  160","Ridge","50m","2022-01-19"
"27",226.889031210344,0.194439774428888,118.966776987983,"Fold2.Rep09","lambda =  160","Ridge","50m","2022-01-19"
"28",95.2175828447853,0.48274376788008,69.3377774136176,"Fold3.Rep01","lambda =  160","Ridge","50m","2022-01-19"
"29",93.2973263791564,0.508576021653721,72.066749227425,"Fold4.Rep08","lambda =  160","Ridge","50m","2022-01-19"
"30",87.2706461814653,0.498660173654959,73.1857679005428,"Fold1.Rep01","lambda =  160","Ridge","50m","2022-01-19"
"31",69.6031975577856,0.7192741184602,56.6048182492029,"Fold4.Rep07","lambda =  160","Ridge","50m","2022-01-19"
"32",83.4010439689439,0.782760939932367,69.0268457292375,"Fold2.Rep07","lambda =  160","Ridge","50m","2022-01-19"
"33",103.73640679723,0.450405939898562,88.7396958023558,"Fold3.Rep04","lambda =  160","Ridge","50m","2022-01-19"
"34",812.994510192064,0.0416082935593919,277.940069835975,"Fold4.Rep06","lambda =  160","Ridge","50m","2022-01-19"
"35",81.8508760340951,0.551156443029828,69.0566177777788,"Fold3.Rep03","lambda =  160","Ridge","50m","2022-01-19"
"36",77.0276738974809,0.682593421168625,61.1344236789718,"Fold2.Rep06","lambda =  160","Ridge","50m","2022-01-19"
"37",73.2916688064869,0.714307221470363,64.6030081718867,"Fold2.Rep05","lambda =  160","Ridge","50m","2022-01-19"
"38",82.6237832856674,0.644518283672818,63.0081157323012,"Fold1.Rep03","lambda =  160","Ridge","50m","2022-01-19"
"39",76.3925177678645,0.625223615247208,63.9517944977662,"Fold1.Rep02","lambda =  160","Ridge","50m","2022-01-19"
"40",93.8937824878174,0.694681678866392,77.6827394404404,"Fold4.Rep04","lambda =  160","Ridge","50m","2022-01-19"
"41",209.5043550178,0.00222822242050259,113.840146576432,"Fold1.Rep01","intercept =  TRUE","PCR","50m","2022-01-19"
"42",82.4659154760097,0.632364097387032,65.1278865315752,"Fold2.Rep01","intercept =  TRUE","PCR","50m","2022-01-19"
"43",76.9804513327513,0.658031700067396,60.8829148609992,"Fold3.Rep01","intercept =  TRUE","PCR","50m","2022-01-19"
"44",58.3870209696595,0.786287496183516,49.2857487073226,"Fold4.Rep01","intercept =  TRUE","PCR","50m","2022-01-19"
"45",81.4531331327874,0.694058332615512,69.048665859264,"Fold1.Rep02","intercept =  TRUE","PCR","50m","2022-01-19"
"46",47.2505113011216,0.633557309189794,42.2007597358158,"Fold2.Rep02","intercept =  TRUE","PCR","50m","2022-01-19"
"47",87.8972571732335,0.576790716434615,71.0335651611337,"Fold3.Rep02","intercept =  TRUE","PCR","50m","2022-01-19"
"48",78.0505417743643,0.649190976688023,59.1600175829497,"Fold4.Rep02","intercept =  TRUE","PCR","50m","2022-01-19"
"49",82.4819103286753,0.616428305764487,60.6843240430505,"Fold1.Rep03","intercept =  TRUE","PCR","50m","2022-01-19"
"50",203.165315514487,0.0116222641930106,117.197477780399,"Fold2.Rep03","intercept =  TRUE","PCR","50m","2022-01-19"
"51",65.3829068102496,0.697650904959744,54.1928457148973,"Fold3.Rep03","intercept =  TRUE","PCR","50m","2022-01-19"
"52",74.3938441375435,0.691357257014469,53.8599897445373,"Fold4.Rep03","intercept =  TRUE","PCR","50m","2022-01-19"
"53",77.6825359432667,0.559454181014415,64.344543003047,"Fold1.Rep04","intercept =  TRUE","PCR","50m","2022-01-19"
"54",70.2596802500356,0.773994623841042,59.2102381248865,"Fold2.Rep04","intercept =  TRUE","PCR","50m","2022-01-19"
"55",79.8391052718236,0.640729413385025,56.6190390941883,"Fold3.Rep04","intercept =  TRUE","PCR","50m","2022-01-19"
"56",156.306325224313,0.118159657420819,91.9795208834057,"Fold4.Rep04","intercept =  TRUE","PCR","50m","2022-01-19"
"57",227.428218611362,0.195604427664245,111.42927815155,"Fold1.Rep05","intercept =  TRUE","PCR","50m","2022-01-19"
"58",81.5849495557383,0.617587630150565,68.0128243554717,"Fold2.Rep05","intercept =  TRUE","PCR","50m","2022-01-19"
"59",74.0550278109087,0.665888655277388,57.4641039289228,"Fold3.Rep05","intercept =  TRUE","PCR","50m","2022-01-19"
"60",91.4204140949129,0.415008323859364,73.7977237947544,"Fold4.Rep05","intercept =  TRUE","PCR","50m","2022-01-19"
"61",87.5405012089255,0.564772385305739,67.6389710239581,"Fold1.Rep06","intercept =  TRUE","PCR","50m","2022-01-19"
"62",255.306509500717,0.0273033789689043,131.459939352283,"Fold2.Rep06","intercept =  TRUE","PCR","50m","2022-01-19"
"63",84.0537180895776,0.601896889961627,64.3512007070466,"Fold3.Rep06","intercept =  TRUE","PCR","50m","2022-01-19"
"64",67.989853578658,0.746732190608144,59.193938383603,"Fold4.Rep06","intercept =  TRUE","PCR","50m","2022-01-19"
"65",61.173592086658,0.8619892482262,47.6405335144556,"Fold1.Rep07","intercept =  TRUE","PCR","50m","2022-01-19"
"66",160.51420701389,0.0793552726822679,94.8541379851183,"Fold2.Rep07","intercept =  TRUE","PCR","50m","2022-01-19"
"67",86.2353542928927,0.698676402677953,65.7074140542548,"Fold3.Rep07","intercept =  TRUE","PCR","50m","2022-01-19"
"68",76.735106003501,0.693117532323806,61.0306428655091,"Fold4.Rep07","intercept =  TRUE","PCR","50m","2022-01-19"
"69",90.6213003301112,0.503199048693896,73.7536267132251,"Fold1.Rep08","intercept =  TRUE","PCR","50m","2022-01-19"
"70",76.895163135627,0.699601560245974,66.5061672721277,"Fold2.Rep08","intercept =  TRUE","PCR","50m","2022-01-19"
"71",179.076684649774,0.0177714449962832,98.4485329943955,"Fold3.Rep08","intercept =  TRUE","PCR","50m","2022-01-19"
"72",69.4763904896936,0.82170886845152,47.3930921061989,"Fold4.Rep08","intercept =  TRUE","PCR","50m","2022-01-19"
"73",194.813154110793,0.0796610213378162,106.438195889271,"Fold1.Rep09","intercept =  TRUE","PCR","50m","2022-01-19"
"74",66.6622166168227,0.742276898069127,56.3727875519115,"Fold2.Rep09","intercept =  TRUE","PCR","50m","2022-01-19"
"75",62.2562494565572,0.717166940810183,52.3582876517088,"Fold3.Rep09","intercept =  TRUE","PCR","50m","2022-01-19"
"76",92.7947934056221,0.525115411307834,72.3496142999896,"Fold4.Rep09","intercept =  TRUE","PCR","50m","2022-01-19"
