"","Component","eigenvalue","percentage.of.variance","cumulative.percentage.of.variance","Date","Altitude"
"1","comp 1",7.2092313339953,48.0615422266353,48.0615422266353,"2022-01-19","50m"
"2","comp 2",3.24303473362784,21.6202315575189,69.6817737841542,"2022-01-19","50m"
"3","comp 3",2.38675874600967,15.9117249733978,85.593498757552,"2022-01-19","50m"
"4","comp 4",1.53138591769588,10.2092394513058,95.8027382088578,"2022-01-19","50m"
"5","comp 5",0.414706564584745,2.76471043056497,98.5674486394228,"2022-01-19","50m"
"6","comp 6",0.143907277369256,0.959381849128373,99.5268304885512,"2022-01-19","50m"
"7","comp 7",0.0547013444455526,0.364675629637018,99.8915061181882,"2022-01-19","50m"
"8","comp 8",0.0124973082447066,0.0833153882980443,99.9748215064863,"2022-01-19","50m"
"9","comp 9",0.00254678831984382,0.0169785887989588,99.9918000952852,"2022-01-19","50m"
"10","comp 10",0.000770444880005431,0.00513629920003621,99.9969363944852,"2022-01-19","50m"
"11","comp 11",0.000349121608865298,0.00232747739243532,99.9992638718777,"2022-01-19","50m"
"12","comp 12",9.50904428577004e-05,0.000633936285718003,99.9998978081634,"2022-01-19","50m"
"13","comp 13",9.73291209921824e-06,6.48860806614549e-05,99.9999626942441,"2022-01-19","50m"
"14","comp 14",3.95408474562524e-06,2.63605649708349e-05,99.999989054809,"2022-01-19","50m"
"15","comp 15",1.64177864557908e-06,1.09451909705272e-05,100,"2022-01-19","50m"
"16","comp 1",7.57915600523509,50.5277067015673,50.5277067015673,"2022-01-19","15m"
"17","comp 2",3.77506360234661,25.1670906823108,75.694797383878,"2022-01-19","15m"
"18","comp 3",2.22593856733407,14.8395904488938,90.5343878327718,"2022-01-19","15m"
"19","comp 4",1.04826044784426,6.98840298562842,97.5227908184003,"2022-01-19","15m"
"20","comp 5",0.176927230769478,1.17951487179652,98.7023056901968,"2022-01-19","15m"
"21","comp 6",0.125126077804564,0.834173852030428,99.5364795422272,"2022-01-19","15m"
"22","comp 7",0.0496980256977368,0.331320171318245,99.8677997135455,"2022-01-19","15m"
"23","comp 8",0.0154319247491298,0.102879498327532,99.970679211873,"2022-01-19","15m"
"24","comp 9",0.00269748109313484,0.0179832072875656,99.9886624191605,"2022-01-19","15m"
"25","comp 10",0.00104874367375824,0.00699162449172163,99.9956540436523,"2022-01-19","15m"
"26","comp 11",0.000405712597245305,0.00270475064830203,99.9983587943006,"2022-01-19","15m"
"27","comp 12",0.000225487414593548,0.00150324943062365,99.9998620437312,"2022-01-19","15m"
"28","comp 13",1.03594846093118e-05,6.90632307287454e-05,99.9999311069619,"2022-01-19","15m"
"29","comp 14",5.54783083058505e-06,3.6985538870567e-05,99.9999680925008,"2022-01-19","15m"
"30","comp 15",4.78612488070922e-06,3.19074992047281e-05,100,"2022-01-19","15m"
"31","comp 1",6.74547790672644,44.9698527115096,44.9698527115096,"2022-01-19","30m"
"32","comp 2",3.41725038743609,22.781669249574,67.7515219610836,"2022-01-19","30m"
"33","comp 3",2.78552283030095,18.5701522020063,86.3216741630899,"2022-01-19","30m"
"34","comp 4",1.78785827611646,11.9190551741098,98.2407293371996,"2022-01-19","30m"
"35","comp 5",0.108276334875706,0.721842232504709,98.9625715697043,"2022-01-19","30m"
"36","comp 6",0.0967734458107734,0.645156305405156,99.6077278751095,"2022-01-19","30m"
"37","comp 7",0.0444194554913936,0.296129703275958,99.9038575783855,"2022-01-19","30m"
"38","comp 8",0.00978571728962726,0.0652381152641817,99.9690956936496,"2022-01-19","30m"
"39","comp 9",0.00267766849250186,0.0178511232833458,99.986946816933,"2022-01-19","30m"
"40","comp 10",0.00122841278073263,0.00818941853821753,99.9951362354712,"2022-01-19","30m"
"41","comp 11",0.000457134387291874,0.00304756258194583,99.9981837980531,"2022-01-19","30m"
"42","comp 12",0.000245733710684399,0.00163822473789599,99.999822022791,"2022-01-19","30m"
"43","comp 13",1.55483690101614e-05,0.000103655793401076,99.9999256785844,"2022-01-19","30m"
"44","comp 14",7.88229330173311e-06,5.25486220115541e-05,99.9999782272065,"2022-01-19","30m"
"45","comp 15",3.26591903131167e-06,2.17727935420778e-05,100,"2022-01-19","30m"
"46","comp 1",5.93385710090818,39.5590473393879,39.5590473393879,"2022-01-19","ground"
"47","comp 2",4.17544672234147,27.8363114822765,67.3953588216643,"2022-01-19","ground"
"48","comp 3",3.1081843896011,20.7212292640073,88.1165880856716,"2022-01-19","ground"
"49","comp 4",1.01193792729589,6.74625284863925,94.8628409343109,"2022-01-19","ground"
"50","comp 5",0.336991476750777,2.24660984500518,97.1094507793161,"2022-01-19","ground"
"51","comp 6",0.197053986520194,1.31369324346796,98.423144022784,"2022-01-19","ground"
"52","comp 7",0.192503564755866,1.28335709837244,99.7065011211565,"2022-01-19","ground"
"53","comp 8",0.0273770972198918,0.182513981465945,99.8890151026224,"2022-01-19","ground"
"54","comp 9",0.0117637821312252,0.0784252142081678,99.9674403168306,"2022-01-19","ground"
"55","comp 10",0.00350314797186288,0.0233543198124192,99.990794636643,"2022-01-19","ground"
"56","comp 11",0.00122320497042053,0.00815469980280354,99.9989493364458,"2022-01-19","ground"
"57","comp 12",0.000122626149362824,0.000817507662418827,99.9997668441082,"2022-01-19","ground"
"58","comp 13",2.02157659383833e-05,0.000134771772922555,99.9999016158811,"2022-01-19","ground"
"59","comp 14",1.12199349277063e-05,7.47995661847087e-05,99.9999764154473,"2022-01-19","ground"
"60","comp 15",3.53768290066226e-06,2.35845526710817e-05,100,"2022-01-19","ground"
"61","comp 1",10.5850577614385,70.5670517429234,70.5670517429234,"2022-02-14","30m"
"62","comp 2",2.78652531689678,18.5768354459786,89.1438871889019,"2022-02-14","30m"
"63","comp 3",0.699921393719051,4.66614262479368,93.8100298136956,"2022-02-14","30m"
"64","comp 4",0.631880623297265,4.21253748864844,98.022567302344,"2022-02-14","30m"
"65","comp 5",0.221873366298327,1.47915577532218,99.5017230776662,"2022-02-14","30m"
"66","comp 6",0.0469405782967948,0.312937188645299,99.8146602663115,"2022-02-14","30m"
"67","comp 7",0.013349147011433,0.0889943134095535,99.9036545797211,"2022-02-14","30m"
"68","comp 8",0.00796546661828382,0.0531031107885589,99.9567576905096,"2022-02-14","30m"
"69","comp 9",0.00345935265941591,0.0230623510627728,99.9798200415724,"2022-02-14","30m"
"70","comp 10",0.00190882771101295,0.0127255180734197,99.9925455596458,"2022-02-14","30m"
"71","comp 11",0.000814496551312713,0.00542997700875142,99.9979755366546,"2022-02-14","30m"
"72","comp 12",0.000278411593232595,0.0018560772882173,99.9998316139428,"2022-02-14","30m"
"73","comp 13",1.61364674360964e-05,0.000107576449573976,99.9999391903924,"2022-02-14","30m"
"74","comp 14",6.99520191124941e-06,4.66346794083294e-05,99.9999858250718,"2022-02-14","30m"
"75","comp 15",2.12623923613268e-06,1.41749282408845e-05,100,"2022-02-14","30m"
"76","comp 1",10.7138528432574,71.4256856217159,71.4256856217159,"2022-02-14","15m"
