"","Variable","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Date","Altitude"
"1","Intensity",2.18299085976273,0.26503365612014,32.0286446138434,4.03075005195829,1.22604140722233,"2022-01-19","50m"
"2","Hue",9.20226627484533,9.93206040159531,0.0471609878141506,0.381413700132161,1.27075130360444,"2022-01-19","50m"
"3","Saturation",5.45449437553231,0.467899518109988,21.2880484029197,5.03688962442039,1.39290306996088,"2022-01-19","50m"
"4","Lightness",2.13598133504104,0.831670298834813,30.7126330471549,5.20154964064652,0.936532175925097,"2022-01-19","50m"
"5","a.",8.30656942629033,11.16780294953,1.35367784628657,0.0342984029334937,0.529152903757912,"2022-01-19","50m"
"6","b.",7.61744502679039,4.0886972285602,2.78101677575738,16.1354585751661,1.00885951679998,"2022-01-19","50m"
"7","u.",10.4628381534926,5.70588129044968,1.21905712086107,1.72038729929513,0.162985348621466,"2022-01-19","50m"
"8","v.",6.06068445696842,7.91353904909042,0.0799428501830317,19.649398739776,0.668716809647317,"2022-01-19","50m"
"9","GA",11.5886061753999,0.0295595664403457,1.34016118749961,0.114975523826783,2.77974452143751,"2022-01-19","50m"
"10","GGA",8.29723709488992,5.85299909303486,0.266836259217466,9.69027517501337,5.73969845583869,"2022-01-19","50m"
"11","CSI",6.77603927402945,7.00118055287418,0.244079115868406,16.3085055254796,1.28505437618756,"2022-01-19","50m"
"12","NGRDI",12.0811330509818,2.49132216900732,1.78520923966238,0.134226893302817,0.0400750970461735,"2022-01-19","50m"
"13","NGRDIveg",6.97832682325097,6.46941457351923,0.65246462498451,15.2075861578198,6.76104512579294,"2022-01-19","50m"
"14","TGI",2.20221755154855,22.1280062828428,1.78236636108721,4.2920845373144,2.80754190231428,"2022-01-19","50m"
"15","TGIveg",0.653170121176139,15.654933369991,4.4187015668604,2.06220015291528,73.3908979858433,"2022-01-19","50m"
"16","Intensity",8.21883312432866,1.61208890127488,0.800810535910284,28.2493819538754,0.446001172222846,"2022-01-19","15m"
"17","Hue",11.3057448632532,3.3513939665274,0.229446274511513,0.345524752831278,0.00185762197074907,"2022-01-19","15m"
"18","Saturation",2.37738875695797,10.1131384195307,10.1114574128683,19.4613677475827,1.23972193191851,"2022-01-19","15m"
"19","Lightness",7.56756255679695,2.85094310165849,0.667199220935049,28.8527299351981,0.327243443669006,"2022-01-19","15m"
"20","a.",10.7033550341935,3.48294991310986,0.802348781275722,2.81235004146,3.82980179028815,"2022-01-19","15m"
"21","b.",3.98800389869422,16.2073501563491,3.51953520756839,0.0553570665229367,0.994942018864706,"2022-01-19","15m"
"22","u.",12.2409073388323,0.320218528447162,1.48535104198951,1.62980515435168,4.70078571435332,"2022-01-19","15m"
"23","v.",3.47179902695162,17.8959748460533,1.51074686191096,2.14548003771345,0.43986173254487,"2022-01-19","15m"
"24","GA",11.8957541000114,0.0391487169893859,1.49577301271535,0.711618511070523,22.3028992516541,"2022-01-19","15m"
