"","model_ID","emmean","SE","df","lower.CL","upper.CL",".group","model","altitude","Haun","MAPESD_overall","MAPE_overall","MAESD","MAE","R2SD","R2","RMSESD","RMSEmean"
"1","10.5 - 11.1 PCR 50m",46.7171922922318,1.47253641498529,3164,42.3731604621235,51.06122412234,"         i","PCR","50m","10.5 - 11.1",9.37713621424967,46.7171922922295,10.5402374930874,59.3336888604202,0.0858075628712758,0.64842670760012,10.7293428395962,74.6821473640857
"2","10.5 - 11.1 Ridge 50m",40.2813024854398,2.19407049024285,3164,33.8087209247241,46.7538840461555," a      ","Ridge","50m","10.5 - 11.1",7.31602133743765,40.2813024854395,8.31483123684977,52.5048229080889,0.0956526560170225,0.698904450472797,11.1897419004288,68.8017252631134
"3","10.9 - 11.5 PCR 50m",77.0254549283403,1.46515523359236,3164,72.7031978309913,81.3477120256892,"  bcd     ","PCR","50m","10.9 - 11.5",12.2142263420833,77.0254549283392,8.97857116593831,83.0791228164201,0.108316961974889,0.342174285029962,12.6376319369784,103.071263800879
"4","10.9 - 11.5 Ridge 50m",65.3764490726903,2.18857844035203,3164,58.9200692434193,71.8328289019612,"   c    ","Ridge","50m","10.9 - 11.5",13.0199087790117,65.37644907269,10.1175096473898,72.3352234542444,0.129419393007428,0.48139828329842,12.0595099096013,90.7042256102219
"5","2.6 - 2.8 PCR 15m",70.3721953517218,1.48003028737717,3164,66.0060563466264,74.7383343568173,"  b       ","PCR","15m","2.6 - 2.8",25.1904553546737,70.3721953517289,8.84201546815884,59.7032365302941,0.149945642436368,0.620170507616041,12.7199887977446,78.6520515556983
"6","2.6 - 2.8 PCR 30m",74.7784112645657,1.46883191499083,3164,70.4453078337329,79.1115146953985,"  bc      ","PCR","30m","2.6 - 2.8",31.9028276414224,74.7784112645657,14.2098075048785,63.6648260085903,0.221878485291919,0.585280981581719,34.7204891691533,88.4619380726408
"7","2.6 - 2.8 PCR 50m",83.7706561141049,1.46883191499073,3164,79.4375526832723,88.1037595449374,"    d     ","PCR","50m","2.6 - 2.8",46.9274998483089,83.7706561141099,22.0421592171009,71.3074321929979,0.26552692685985,0.529693380038663,53.4237722308246,103.287349358014
"8","2.6 - 2.8 PCR ground",39.3906917621676,1.46515523359231,3164,35.0684346648188,43.7129488595164," a        ","PCR","ground","2.6 - 2.8",7.70949446242003,39.3906917621669,4.58158717215666,39.1334586511394,0.0366974418710734,0.883112907954313,5.32763886913849,47.4795711241928
"9","2.6 - 2.8 Ridge 15m",59.3729151363366,2.19960409421467,3164,52.8840092582429,65.8618210144302,"  bc    ","Ridge","15m","2.6 - 2.8",19.432098141399,59.372915136339,13.9406905864524,54.2380597386817,0.160165914689872,0.681213212037783,16.5064414246831,71.8295596786244
"10","2.6 - 2.8 Ridge 30m",76.9760684086301,2.19960409421463,3164,70.4871625305366,83.4649742867236,"    d   ","Ridge","30m","2.6 - 2.8",32.6330841408816,76.9760684086359,14.3537145267452,63.8677766635298,0.233917324910025,0.594280374436158,39.445058504778,89.5840744680511
"11","2.6 - 2.8 Ridge 50m",118.094373172646,2.18857844035213,3164,111.637993343374,124.550753001917,"     e  ","Ridge","50m","2.6 - 2.8",111.848583592362,118.094373172638,48.0539148617059,86.4402908640152,0.256849722583988,0.554832999182356,168.804097367996,147.44270196744
"12","2.6 - 2.8 Ridge ground",38.5979523757337,2.18857844035193,3164,32.1415725464631,45.0543322050043," a      ","Ridge","ground","2.6 - 2.8",7.23077554939587,38.5979523757332,4.77840988375602,38.1556407363832,0.0404406188188813,0.882900165344859,6.1003834700752,45.8621482178744
"13","3 - 3.2 PCR 15m",36.313394625437,1.47253641498523,3164,31.9693627953289,40.6574264555451," a   e    ","PCR","15m","3 - 3.2",6.55322009292774,36.3133946254361,6.16317208872551,34.0955858254836,0.0507951261609418,0.890238155260288,7.90082442382527,42.5160074514194
"14","3 - 3.2 PCR 30m",57.3241044750659,1.46883191499081,3164,52.9910010442332,61.6572079058987,"      f   ","PCR","30m","3 - 3.2",12.3983556538188,57.3241044750657,5.91968389508854,48.1271034601822,0.0490399547668105,0.816940339030238,6.73825410699928,57.1793065267003
"15","3 - 3.2 PCR 50m",79.899346520284,1.46883191499076,3164,75.5662430894514,84.2324499511166,"   cd     ","PCR","50m","3 - 3.2",47.4731687060964,79.8993465202862,10.6231977590012,57.0255260611675,0.10002381036232,0.73651368813087,19.6343604373519,70.8850778119973
"16","3 - 3.2 PCR ground",33.2256017853505,1.47626908615747,3164,28.8705584500474,37.5806451206537," a   e    ","PCR","ground","3 - 3.2",6.16271299680119,33.2256017853493,5.50589640239614,34.6788588483585,0.0406850035509146,0.902028692661478,7.59843753720138,42.9842204578031
"17","3 - 3.2 Ridge 15m",26.709104212045,2.20517977893767,3164,20.2037498769456,33.2144585471445,"      fg","Ridge","15m","3 - 3.2",7.5495661970033,26.7091042120462,4.02147453157936,25.8501414958455,0.0248991154759252,0.934983304212066,6.19656514068401,33.8507769080835
"18","3 - 3.2 Ridge 30m",52.677008218481,2.19960409421472,3164,46.1881023403872,59.1659140965748,"  b     ","Ridge","30m","3 - 3.2",13.9730790942434,52.6770082184825,7.64050580780398,44.0917300467813,0.0512450726701682,0.83986387436729,8.79590769219762,53.8751764976288
